
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
-2 0 -2 79.222131 303.565773
-2 0 -3 81.364808 160737.396713
-2 1 -6 81.548025 187246.055614
-2 0 -4 84.344915 4860.668464
-2 0 -5 88.155156 2777.432715
-2 0 -6 92.802727 47923.331338
-2 1 -8 93.407178 1019.081221
-2 0 -7 98.321723 4566.939718
-2 0 -8 104.791902 1811.017967
-3 1 0 111.786173 19328.592222
-3 1 -1 112.241766 5213.822301
-2 0 -9 112.372746 75382.168507
-3 1 -2 113.617641 369.182572
-3 1 -3 115.943869 144273.210301
-3 1 -4 119.281008 5009.734957
-3 1 -5 123.741027 3244.297353
-3 1 -6 129.533581 55725.232715
-3 1 -7 137.084978 6825.114583
-3 0 0 139.720449 50618.618991
-3 0 -2 142.409098 5273.471863
-3 1 -8 147.452120 3581.975356
-3 0 -4 151.744914 2664.276995
-3 1 -9 165.526559 269223.246014

Start of a new data set 
The energy is8048.3
 h k l 2theta Intensity
0 0 -2 13.948544 253145.699519
0 0 -4 28.109300 12671.916967
-1 0 0 36.474422 182688.190121
-1 0 -1 37.179094 59289.302645
-1 0 -2 39.228055 1239.183354
-1 0 -3 42.457720 1017247.424108
0 0 -6 42.725441 190939.388105
-1 0 -4 46.672095 32341.976156
-1 0 -5 51.696565 14804.380377
-1 0 -6 57.402384 184931.181782
0 0 -8 58.115975 604.902312
-1 0 -7 63.710833 15675.073145
-2 1 0 65.646389 222637.450529
-2 1 -2 67.487836 18799.686988
-1 0 -8 70.590111 5013.968527
-2 1 -4 72.877397 5969.996747
-2 0 0 77.497085 23599.553396
-2 0 -1 77.929364 5956.582194
-1 0 -9 78.053252 179608.012652
-2 0 -2 79.222131 303.565773
-2 0 -3 81.364808 160737.396713
-2 1 -6 81.548025 187246.055614
-2 0 -4 84.344915 4860.668464
-2 0 -5 88.155156 2777.432715
-2 0 -6 92.802727 47923.331338
-2 1 -8 93.407178 1019.081221
-2 0 -7 98.321723 4566.939718
-2 0 -8 104.791902 1811.017967
-3 1 0 111.786173 19328.592222
-3 1 -1 112.241766 5213.822301
-2 0 -9 112.372746 75382.168507
-3 1 -2 113.617641 369.182572
-3 1 -3 115.943869 144273.210301
-3 1 -4 119.281008 5009.734957
-3 1 -5 123.741027 3244.297353
-3 1 -6 129.533581 55725.232715
-3 1 -7 137.084978 6825.114583
-3 0 0 139.720449 50618.618991
-3 0 -2 142.409098 5273.471863
-3 1 -8 147.452120 3581.975356
-3 0 -4 151.744914 2664.276995
-3 1 -9 165.526559 269223.246014

Start of a new data set 
The energy is8048.3
 h k l 2theta Intensity
0 0 -2 13.948544 253145.699519
0 0 -4 28.109300 12671.916967
