
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 2 5 135.341765 808.137688
1 1 6 137.743676 2277.741599
1 2 0 146.782874 364.167489
1 2 1 149.663463 2398.862142
1 2 2 160.474487 1255.362666
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 1489.423042
0 1 1 44.670996 7331.227310
0 1 2 50.821657 1463.149077
0 0 4 54.800065 1444.721851
0 1 3 60.041596 2271.750970
0 1 4 71.695931 397.188201
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
0 1 5 85.652665 721.365053
0 0 6 87.307790 307.903051
0 2 0 92.836501 103.741231
0 2 1 94.356332 608.830942
0 2 2 98.938732 193.308962
1 1 4 102.162390 1517.583700
0 1 6 102.439047 189.497190
0 2 3 106.722905 565.223793
0 2 4 118.232765 202.281477
0 1 7 124.024709 654.355034
0 0 8 133.969427 348.577652
0 2 5 135.341765 808.137688
1 1 6 137.743676 2277.741599
1 2 0 146.782874 364.167489
1 2 1 149.663463 2398.862142
1 2 2 160.474487 1255.362666
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 1489.423042
0 1 1 44.670996 7331.227310
0 1 2 50.821657 1463.149077
0 0 4 54.800065 1444.721851
0 1 3 60.041596 2271.750970
0 1 4 71.695931 397.188201
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
0 1 5 85.652665 721.365053
0 0 6 87.307790 307.903051
0 2 0 92.836501 103.741231
0 2 1 94.356332 608.830942
0 2 2 98.938732 193.308962
1 1 4 102.162390 1517.583700
0 1 6 102.439047 189.497190
0 2 3 106.722905 565.223793
0 2 4 118.232765 202.281477
0 1 7 124.024709 654.355034
0 0 8 133.969427 348.577652
0 2 5 135.341765 808.137688
1 1 6 137.743676 2277.741599
1 2 0 146.782874 364.167489
1 2 1 149.663463 2398.862142
1 2 2 160.474487 1255.362666
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 1489.423042
0 1 1 44.670996 7331.227310
0 1 2 50.821657 1463.149077
0 0 4 54.800065 1444.721851
0 1 3 60.041596 2271.750970
0 1 4 71.695931 397.188201
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
0 1 5 85.652665 721.365053
0 0 6 87.307790 307.903051
0 2 0 92.836501 103.741231
0 2 1 94.356332 608.830942
0 2 2 98.938732 193.308962
1 1 4 102.162390 1517.583700
0 1 6 102.439047 189.497190
0 2 3 106.722905 565.223793
0 2 4 118.232765 202.281477
0 1 7 124.024709 654.355034
0 0 8 133.969427 348.577652
0 2 5 135.341765 808.137688
1 1 6 137.743676 2277.741599
1 2 0 146.782874 364.167489
1 2 1 149.663463 2398.862142
1 2 2 160.474487 1255.362666
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 10529.448209
0 1 0 42.470211 248.237174
0 1 1 44.670996 610.935609
0 1 2 50.821657 121.929090
0 0 4 54.800065 722.360926
0 1 3 60.041596 189.312581
0 1 4 71.695931 33.099017
1 1 0 77.708499 205.814044
1 1 2 83.857979 168.239213
0 1 5 85.652665 60.113754
0 0 6 87.307790 153.951526
0 2 0 92.836501 17.290205
0 2 1 94.356332 50.735912
0 2 2 98.938732 16.109080
1 1 4 102.162390 126.465308
0 1 6 102.439047 15.791433
0 2 3 106.722905 47.101983
0 2 4 118.232765 16.856790
0 1 7 124.024709 54.529586
0 0 8 133.969427 174.288826
0 2 5 135.341765 67.344807
1 1 6 137.743676 189.811800
1 2 0 146.782874 30.347291
1 2 1 149.663463 99.952589
1 2 2 160.474487 52.306778
0 1 8 163.066990 30.223570

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 1489.423042
0 1 1 44.670996 7331.227310
0 1 2 50.821657 1463.149077
0 0 4 54.800065 1444.721851
0 1 3 60.041596 2271.750970
0 1 4 71.695931 397.188201
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
0 1 5 85.652665 721.365053
0 0 6 87.307790 307.903051
0 2 0 92.836501 103.741231
0 2 1 94.356332 608.830942
0 2 2 98.938732 193.308962
1 1 4 102.162390 1517.583700
0 1 6 102.439047 189.497190
0 2 3 106.722905 565.223793
0 2 4 118.232765 202.281477
0 1 7 124.024709 654.355034
0 0 8 133.969427 348.577652
0 2 5 135.341765 808.137688
1 1 6 137.743676 2277.741599
1 2 0 146.782874 364.167489
1 2 1 149.663463 2398.862142
1 2 2 160.474487 1255.362666
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 744.711521
0 1 1 44.670996 3665.613655
0 1 2 50.821657 731.574539
0 0 4 54.800065 1444.721851
0 1 3 60.041596 1135.875485
0 1 4 71.695931 198.594100
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
0 1 5 85.652665 360.682526
0 0 6 87.307790 307.903051
0 2 0 92.836501 51.870615
0 2 1 94.356332 304.415471
0 2 2 98.938732 96.654481
1 1 4 102.162390 1517.583700
0 1 6 102.439047 94.748595
0 2 3 106.722905 282.611897
0 2 4 118.232765 101.140739
0 1 7 124.024709 327.177517
0 0 8 133.969427 348.577652
0 2 5 135.341765 404.068844
1 1 6 137.743676 2277.741599
1 2 0 146.782874 182.083745
1 2 1 149.663463 1199.431071
1 2 2 160.474487 627.681333
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 744.711521
0 1 1 44.670996 3665.613655
0 1 2 50.821657 731.574539
0 0 4 54.800065 1444.721851
0 1 3 60.041596 1135.875485
